13.02,23.13
2.34,65.00
54.16,77.65
41.31,54.40
82.72,48.03
88.86,9.62
97.68,87.81
7.34,16.83
52.18,27.74
95.34,6.32
29.17,98.04
58.08,61.13
94.17,54.05
49.45,65.48
95.77,14.38
26.88,9.06
35.04,91.33
79.67,84.01
1.00,90.64
0.73,6.67
26.97,33.08
99.67,68.07
85.92,44.32
51.94,3.11
71.80,70.28
12.07,29.18
6.46,12.73
67.73,12.20
71.14,79.48
41.12,51.50
15.42,45.85
34.97,97.66
98.12,75.07
18.58,8.18
11.25,70.42
81.97,86.66
19.71,83.76
19.63,23.18
23.54,24.12
52.00,82.82
89.30,42.62
48.52,8.50
15.17,67.21
23.31,8.93
80.09,46.64
74.75,7.31
48.32,48.39
0.17,97.06
82.10,65.02
22.35,34.18
91.47,31.86
39.24,17.36
23.08,37.18
72.08,10.82
79.90,88.16
97.46,93.65
33.38,67.82
23.16,39.32
69.81,96.38
68.98,15.63
46.04,29.14
33.89,93.57
59.36,51.93
80.16,60.13
15.43,18.63
33.07,42.32
61.59,85.44
98.39,24.95
42.92,70.03
53.66,33.42
64.14,92.71
72.26,78.03
78.71,30.24
36.00,8.18
98.76,42.09
31.01,60.36
93.31,47.97
95.06,31.33
45.34,70.39
35.79,31.70
40.63,0.08
87.04,25.76
84.42,44.95
65.44,10.37
38.57,48.21
90.83,83.54
39.18,60.60
30.34,92.42
7.86,32.44
56.31,50.33
36.01,87.91
12.53,83.93
60.89,59.71
49.15,3.45
1.36,46.93
3.72,34.61
30.69,23.79
35.92,86.79
78.25,27.28
30.87,99.74
53.85,92.67
38.09,6.85
60.75,56.98
82.42,21.01
85.40,8.89
10.56,97.83
89.02,55.37
30.08,16.42
7.06,57.77
60.92,31.62
2.18,68.45
79.39,59.64
61.52,62.70
1.69,67.91
47.38,37.05
26.55,62.20
20.14,41.83
55.07,74.37
13.62,6.40
59.28,0.73
