94.17,54.05
89.02,55.37
79.39,59.64
80.16,60.13
82.1,65.02
71.8,70.28
72.26,78.03
71.14,79.48
79.67,84.01
81.97,86.66
79.9,88.16
69.81,96.38
64.14,92.71
61.59,85.44
55.07,74.37
54.16,77.65
52.0,82.82
53.85,92.67
34.97,97.66
33.89,93.57
35.04,91.33
36.01,87.91
35.92,86.79
30.34,92.42
29.17,98.04
30.87,99.74
10.56,97.83
0.17,97.06
1.0,90.64
12.53,83.93
19.71,83.76
39.18,60.6
41.31,54.4
41.12,51.5
38.57,48.21
33.07,42.32
15.42,45.85
20.14,41.83
23.16,39.32
23.08,37.18
22.35,34.18
26.97,33.08
35.79,31.7
46.04,29.14
52.18,27.74
53.66,33.42
60.92,31.62
47.38,37.05
48.32,48.39
56.31,50.33
59.36,51.93
60.75,56.98
60.89,59.71
61.52,62.7
58.08,61.13
49.45,65.48
45.34,70.39
42.92,70.03
33.38,67.82
31.01,60.36
26.55,62.2
15.17,67.21
11.25,70.42
2.18,68.45
1.69,67.91
2.34,65.0
7.06,57.77
1.36,46.93
3.72,34.61
7.86,32.44
12.07,29.18
13.02,23.13
15.43,18.63
19.63,23.18
23.54,24.12
30.69,23.79
30.08,16.42
26.88,9.06
23.31,8.93
18.58,8.18
13.62,6.4
6.46,12.73
7.34,16.83
0.73,6.67
40.63,0.08
38.09,6.85
36.0,8.18
39.24,17.36
48.52,8.5
49.15,3.45
51.94,3.11
59.28,0.73
65.44,10.37
67.73,12.2
68.98,15.63
72.08,10.82
74.75,7.31
85.4,8.89
88.86,9.62
95.34,6.32
95.77,14.38
98.39,24.95
95.06,31.33
91.47,31.86
87.04,25.76
82.42,21.01
78.25,27.28
78.71,30.24
80.09,46.64
82.72,48.03
84.42,44.95
85.92,44.32
89.3,42.62
93.31,47.97
98.76,42.09
99.67,68.07
98.12,75.07
90.83,83.54
97.68,87.81
97.46,93.65
